039	221	2652	4199	5	2774135
250	200	3000	6400	1	2774356
024	182	5460	8008	1	2774556
082	161	1610	4186	4	2774738
227	161	5796	8855	5	2774899
347	132	528	1980	3	2775060
364	115	575	2415	5	2775192
281	114	3420	5130	2	2775307
172	107	1605	2996	1	2775421
083	98	392	2450	2	2775528
052	79	237	632	1	2775626
